"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"2020F","TX","AVTXD"," 2.17"," 2.21"," 2.19"," 2.36"," 3.23"," 3.45"," 3.59"," 3.97"," 4.29"," 5.73"," 9.02"," 10.84"," 10.92"," 10.44"," 10.27"," 9.99"," 8.41"," 7.55"," 7.41"," 8.28"," 9.32"," 8.71"," 8.54"," 8.24"," 7.96"," 8.36"," 9.29"," 9.39"," 8.11"," 8.81"," 10.87"," 11.01"," 10.72"," 12.42"," 15.13"," 18.56"," 22.31"," 23.7"," 27.23"," 20.32"," 25.19"," 31.64"," 33.04"," 32.71"," 33.16"," 24.86"," 21.62"," 24.13"," 27.04"," 25.57"," 22.34"
"2020F","TX","AVTXV"," 22"," 22.3"," 17.3"," 18.5"," 26.2"," 22.8"," 23"," 27.3"," 27.7"," 34"," 57.5"," 71.2"," 49.8"," 40.2"," 49.9"," 66.4"," 65.4"," 43.8"," 37.9"," 34.3"," 39.4"," 28.8"," 33.8"," 28.8"," 31.1"," 27.2"," 29.3"," 31.2"," 22.7"," 35.4"," 33.4"," 26"," 28.8"," 32.1"," 37"," 47.9"," 55.7"," 58.9"," 57.5"," 35.6"," 79.1"," 108"," 115.6"," 107.6"," 75.5"," 48.2"," 44.4"," 56.3"," 58.2"," 53.6"," 43.3"
"2020F","TX","CLACD"," .86"," .76"," .9"," .84"," 1.31"," 1.01"," 1.84"," 1.66"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2020F","TX","CLACV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2020F","TX","CLCCD"," .86"," .76"," .9"," .84"," 1.31"," 0"," 0"," 1.66"," 0"," 0"," .89"," 1.48"," 1.68"," 0"," 0"," 1.6"," 1.51"," 1.27"," 1.31"," 1.27"," 1.14"," 1.24"," 1.27"," 1.16"," 1.26"," 0"," 0"," 1.29"," 1.48"," 1.48"," 1.26"," 1.38"," 1.27"," 1.28"," 1.42"," 1.54"," 1.89"," 2.47"," 2.99"," 4.39"," 3.69"," 3.76"," 3.99"," 4.11"," 3.85"," 4.21"," 0"," 0"," 0"," 0"," 0"
"2020F","TX","CLCCV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," .1"," .2"," 0"," 0"," .2"," .4"," .7"," 1.1"," .3"," .2"," .3"," .2"," .1"," 0"," 0"," 0"," 0"," .5"," .2"," .2"," .5"," 1.4"," 3"," .4"," .4"," 0"," 0"," 1"," 1.6"," 1.1"," 1.1"," 1.1"," 1"," .9"," .7"," 0"," 0"," 0"," 0"," 0"
"2020F","TX","CLEID"," 0"," .21"," .22"," .12"," .17"," .23"," .34"," .58"," .68"," .98"," 1.21"," 1.46"," 1.6"," 1.68"," 1.68"," 1.59"," 1.55"," 1.55"," 1.47"," 1.45"," 1.45"," 1.5"," 1.49"," 1.44"," 1.35"," 1.34"," 1.3"," 1.26"," 1.24"," 1.2"," 1.23"," 1.33"," 1.28"," 1.26"," 1.32"," 1.34"," 1.49"," 1.63"," 1.88"," 1.87"," 1.84"," 1.87"," 1.88"," 1.97"," 1.99"," 1.97"," 1.8"," 1.74"," 1.76"," 1.99"," 2.04"
"2020F","TX","CLEIV"," 0"," 0"," 5.6"," 8.1"," 12.3"," 26.9"," 55.6"," 135.3"," 241.5"," 493.4"," 811.7"," 1116"," 1352.1"," 1599.4"," 1644.5"," 1694"," 1688.7"," 1771.4"," 1782.4"," 1845.1"," 1848.1"," 1903.7"," 1883.7"," 1951.1"," 1763.9"," 1739.6"," 1828.3"," 1824.7"," 1766"," 1760.8"," 1809.8"," 1888"," 1885.3"," 1928.1"," 2046.3"," 2081.6"," 2290.1"," 2562.7"," 2949.3"," 2768.4"," 2866.1"," 3137.2"," 2785.6"," 3104.8"," 3108.4"," 2604.3"," 2361.2"," 2510.7"," 2070.7"," 1956"," 1766.3"
"2020F","TX","CLICD"," .38"," .45"," .58"," .76"," 1.28"," 1.2"," 1.79"," 1.69"," 2.03"," 2.09"," 1.28"," 1.59"," 1.72"," 1.71"," 1.77"," 1.64"," 1.51"," 1.27"," 1.31"," 1.27"," 1.14"," 1.24"," 1.27"," 1.16"," 1.26"," 1.25"," 1.24"," 1.29"," 1.48"," 1.48"," 1.26"," 1.38"," 1.27"," 1.28"," 1.42"," 1.54"," 1.89"," 2.47"," 2.79"," 3.9"," 5.05"," 3.82"," 3.95"," 3.87"," 3.81"," 3.99"," 3.99"," 3.69"," 4.3"," 4.32"," 4.2"
"2020F","TX","CLICV"," 11.8"," 10.7"," 14"," 45.2"," 77"," 93.3"," 112.8"," 94.4"," 124.3"," 174.8"," 80.9"," 145.4"," 143.2"," 112.4"," 162.8"," 138.8"," 109.3"," 78.4"," 68.3"," 78.9"," 69.8"," 78.1"," 76.7"," 82.1"," 104.6"," 79.8"," 91.3"," 96"," 93.1"," 92.4"," 92.3"," 104.2"," 91.2"," 92.6"," 100.6"," 108.1"," 133.9"," 100.1"," 108.7"," 66.5"," 69.8"," 74.2"," 78.5"," 83.6"," 104.6"," 81.4"," 55.1"," 46.1"," 46.3"," 42.7"," 25.8"
