"Data_Status","State","MSN","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"2020F","TX","DFICD"," .66"," .7"," .7"," .83"," 1.88"," 2.02"," 2.47"," 2.66"," 2.84"," 4.24"," 6.09"," 6.79"," 6.32"," 6.4"," 6.41"," 6.1"," 3.68"," 4.34"," 3.88"," 4.6"," 5.91"," 5.14"," 4.9"," 4.77"," 4.51"," 4.49"," 5.41"," 5.13"," 3.98"," 4.58"," 7.17"," 6.63"," 5.72"," 6.93"," 9.73"," 13.76"," 16.04"," 17.48"," 24.37"," 14.14"," 18.11"," 24.24"," 24.98"," 24.46"," 23.12"," 13.93"," 12.28"," 14.94"," 18.37"," 16.94"," 11.77"
"2020F","TX","DFICV"," 33.9"," 38.2"," 54.8"," 70.9"," 154.2"," 168.1"," 227.7"," 367.7"," 425.7"," 781.1"," 701.9"," 1117.6"," 999.4"," 1197.7"," 949.6"," 685.9"," 435.9"," 414.7"," 396.4"," 475.9"," 604.6"," 521.4"," 494.5"," 517.8"," 435"," 520.3"," 727.9"," 652.5"," 550.2"," 570.6"," 880.8"," 803.3"," 654.9"," 789.4"," 952.8"," 1600.5"," 1882.4"," 2276.7"," 3723.3"," 1612.1"," 2328.9"," 4242.3"," 4903.6"," 4599.8"," 5259.5"," 2190"," 2107.4"," 2623.3"," 3587"," 3127.3"," 1603.9"
"2020F","TX","DFISB"," 51304"," 54798"," 78639"," 85377"," 81932"," 83429"," 92112"," 138049"," 150053"," 184414"," 115290"," 164632"," 158188"," 187031"," 148108"," 112511"," 118503"," 95536"," 102103"," 103437"," 102353"," 101430"," 101010"," 108493"," 96478"," 115992"," 134657"," 127203"," 138234"," 124621"," 122836"," 121234"," 114479"," 113861"," 97968"," 116315"," 117347"," 130282"," 152759"," 113981"," 128633"," 175009"," 196284"," 188017"," 227479"," 157218"," 171635"," 175540"," 195260"," 184568"," 136216"
"2020F","TX","DFRCD"," .98"," 1.06"," 1.07"," 1.24"," 2.12"," 2.24"," 2.54"," 2.82"," 2.96"," 4.8"," 6.51"," 8.03"," 7.53"," 6.87"," 7.28"," 6.99"," 4.57"," 4.69"," 4.41"," 5.42"," 4.32"," 3.98"," 5.46"," 5.78"," 5.47"," 5.29"," 7.28"," 5.66"," 4.53"," 4.97"," 8.54"," 7.23"," 6.5"," 7.27"," 9.61"," 14.14"," 16.33"," 17.88"," 24.88"," 14.54"," 17.66"," 25.41"," 25.32"," 26.34"," 25.39"," 15.93"," 13.51"," 15.67"," 17.28"," 16.64"," 13.66"
"2020F","TX","DFRCV"," .8"," .9"," 1.4"," 1.8"," 3.3"," 3.5"," 4.9"," 9.2"," 10.8"," 20.2"," .3"," .3"," 1.3"," 13.8"," 11.6"," 1.1"," .4"," 1.4"," .5"," .3"," 0"," .1"," .1"," .1"," .2"," .2"," 0"," 0"," 0"," .1"," .1"," 0"," .1"," 0"," 8.1"," .4"," 0"," 0"," 0"," .1"," .1"," .5"," .4"," .1"," .2"," .2"," .1"," .1"," .1"," .1"," 0"
"2020F","TX","DFRFB"," 810"," 885"," 1445"," 6990"," 6361"," 5697"," 8959"," 19700"," 22636"," 14458"," 2668"," 1608"," 717"," 371"," 216"," 83"," 126"," 254"," 54"," 240"," 123"," 116"," 173"," 127"," 128"," 176"," 278"," 216"," 462"," 326"," 480"," 356"," 211"," 116"," 196"," 225"," 304"," 333"," 316"," 365"," 360"," 428"," 794"," 726"," 651"," 939"," 639"," 587"," 541"," 651"," 512"
"2020F","TX","DFSCB"," 187976"," 202558"," 266621"," 306115"," 318211"," 312965"," 330769"," 415594"," 448982"," 504034"," 419718"," 526597"," 526582"," 564428"," 489020"," 465825"," 429942"," 409296"," 404416"," 429871"," 395446"," 423163"," 443661"," 477420"," 484839"," 512720"," 562811"," 570506"," 619145"," 609020"," 650361"," 694384"," 663748"," 686573"," 701575"," 743742"," 819947"," 835692"," 816350"," 753222"," 811462"," 915565"," 925491"," 956559"," 1093559"," 1015311"," 1019482"," 1044420"," 1139298"," 1148085"," 972817"
"2020F","TX","DFTCD"," .94"," 1.02"," 1.01"," 1.23"," 2.2"," 2.35"," 2.61"," 2.86"," 2.98"," 4.57"," 6.73"," 7.78"," 7.32"," 6.59"," 6.62"," 6.36"," 5.1"," 5.87"," 5.63"," 6.21"," 7.49"," 7.09"," 7.16"," 7.12"," 7.04"," 6.95"," 7.73"," 7.43"," 6.35"," 6.9"," 9.35"," 8.86"," 8.48"," 9.58"," 12"," 16.33"," 18.45"," 19.82"," 26.45"," 16.68"," 20.39"," 26.28"," 26.97"," 26.7"," 25.62"," 17.58"," 14.9"," 17.19"," 20.59"," 19.54"," 15.77"
"2020F","TX","DFTCV"," 176.6"," 206.9"," 269.7"," 376.3"," 700.8"," 735.9"," 862.3"," 1186.7"," 1337.5"," 2305.9"," 2823.7"," 4096.5"," 3855.6"," 3718.3"," 3239.6"," 2964.5"," 2193.7"," 2401.6"," 2276.2"," 2670.1"," 2963.2"," 2998.8"," 3178.5"," 3396.9"," 3413.4"," 3561.9"," 4351.2"," 4241"," 3929.6"," 4203.2"," 6078.6"," 6152.4"," 5630.7"," 6576.8"," 8418.9"," 12142"," 15127.6"," 16563.2"," 21594"," 12565"," 16546.7"," 24061"," 24959.7"," 25535.8"," 28012.5"," 17852"," 15189.2"," 17953.7"," 23462.5"," 22433.6"," 15345.6"
"2020F","TX","DFTXD"," .94"," 1.02"," 1.01"," 1.23"," 2.2"," 2.35"," 2.61"," 2.86"," 2.98"," 4.57"," 6.77"," 7.81"," 7.36"," 6.61"," 6.63"," 6.37"," 5.12"," 5.88"," 5.65"," 6.28"," 7.51"," 7.1"," 7.18"," 7.13"," 7.1"," 6.97"," 7.75"," 7.44"," 6.36"," 6.92"," 9.4"," 8.91"," 8.5"," 9.64"," 12.01"," 16.34"," 18.46"," 19.83"," 26.46"," 16.69"," 20.4"," 26.29"," 26.97"," 26.7"," 25.62"," 17.59"," 14.9"," 17.19"," 20.6"," 19.54"," 15.78"
"2020F","TX","DFTXV"," 176.5"," 206.7"," 269.2"," 375.8"," 696.4"," 735.1"," 860.4"," 1182.8"," 1335.2"," 2297"," 2798.5"," 4073.5"," 3818.4"," 3664.6"," 3217.6"," 2939.4"," 2185.3"," 2390.2"," 2263.1"," 2612.7"," 2938.9"," 2988.8"," 3171.4"," 3387.6"," 3382.9"," 3550.2"," 4332.1"," 4232.2"," 3918.7"," 4184.8"," 5997"," 6036.7"," 5619.2"," 6477.7"," 8406.3"," 12122.8"," 15110"," 16540.4"," 21570.6"," 12554.9"," 16527.2"," 24027.3"," 24928.5"," 25512.9"," 27990.2"," 17836.3"," 15179.9"," 17944"," 23452.5"," 22425.9"," 15340"
"2020F","TX","DKEID"," .63"," .67"," .94"," 1.22"," 1.88"," 2.03"," 2.41"," 2.52"," 2.51"," 4.95"," 3.83"," 4.33"," 4.96"," 5.18"," 5.97"," 5.57"," 3.03"," 3.87"," 3.43"," 4.2"," 5.78"," 4.91"," 4.11"," 3.85"," 3.78"," 3.74"," 4.73"," 4.54"," 3.67"," 3.96"," 6.53"," 6.8"," 4.53"," 6.67"," 7.17"," 10.45"," 12.53"," 16.35"," 21.01"," 12.88"," 16.9"," 22"," 23"," 22.44"," 19.31"," 13.12"," 10.66"," 12.39"," 15.89"," 14.41"," 10.73"
"2020F","TX","DKEIV"," .2"," .2"," .4"," .5"," 4.4"," .9"," 1.9"," 3.8"," 2.3"," 9"," 25.1"," 23"," 37.3"," 53.7"," 21.9"," 25.1"," 8.3"," 11.4"," 13.1"," 57.4"," 24.3"," 10"," 7.1"," 9.3"," 30.5"," 11.6"," 19.2"," 8.8"," 10.9"," 18.3"," 81.6"," 115.7"," 11.5"," 99.1"," 12.5"," 19.2"," 17.6"," 22.8"," 23.4"," 10.1"," 19.5"," 33.7"," 31.1"," 22.9"," 22.2"," 15.6"," 9.3"," 9.8"," 10.1"," 7.8"," 5.6"
"2020F","TX","ELEXD"," 1.27"," 1.36"," 1.44"," 1.55"," 2.1"," 2.57"," 2.74"," 3.1"," 3.46"," 3.78"," 4.58"," 5.32"," 6.14"," 6.15"," 5.99"," 6.17"," 6.12"," 5.92"," 5.83"," 5.86"," 9.18"," 9.47"," 10.06"," 6.93"," 10.22"," 8.54"," 10.99"," 7.08"," 6.32"," 5.28"," 9.86"," 19.9"," 7.2"," 9.6"," 10.88"," 16.04"," 12.95"," 14.77"," 15.87"," 9.64"," 9.98"," 7.64"," 6.12"," 9.78"," 12.91"," 8.11"," 5.88"," 5.45"," 8.73"," 9.78"," 6.85"
"2020F","TX","ELEXV"," .7"," .9"," 1.3"," 1.9"," 2.7"," 3.6"," 3.3"," .9"," .2"," .4"," 9.1"," 5.2"," .1"," .2"," .2"," .2"," .2"," .8"," .6"," 1.2"," 2"," 14.4"," 33"," 19"," 33.7"," 27"," 38.6"," 26.7"," .1"," .4"," .6"," .2"," 7.3"," 9.7"," 10.9"," 16.1"," 12.9"," 20.3"," 54.8"," 11.1"," 10.6"," 8"," 6.4"," 22.6"," 19.3"," 7"," 39.1"," 104.2"," 34.7"," 150.7"," 75.2"
"2020F","TX","ELIMD"," 1.92"," 2.07"," 2.18"," 2.35"," 3.18"," 3.89"," 4.15"," 4.7"," 0"," 0"," 0"," 0"," 9.31"," 9.32"," 9.08"," 9.34"," 0"," 8.97"," 0"," 8.88"," 8.37"," 7.2"," 0"," 6.61"," 6.35"," 0"," 6.37"," 6.71"," 7.87"," 8.69"," 16.78"," 20.47"," 8.94"," 13.21"," 13.84"," 16.53"," 17.32"," 18.25"," 18.28"," 12.1"," 13.31"," 11.53"," 9.51"," 11.49"," 13.31"," 0"," 0"," 9.18"," 10.74"," 9.2"," 8.38"
"2020F","TX","ELIMV"," .2"," .2"," .4"," .3"," .4"," 1"," 1.5"," .5"," 0"," 0"," 0"," 0"," .1"," 1.7"," 1.7"," .2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," .1"," 12"," 19.8"," 6"," .1"," .3"," 2.4"," 3.6"," 3.7"," 4.4"," 4.7"," 10"," 59.9"," 18.5"," 13.6"," 3.2"," 2.7"," .4"," .6"," 0"," 0"," .3"," 213.7"," 2.2"," 4.4"
"2020F","TX","EMACV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3.1"," 19.6"," 13.7"," 23.8"," 17.1"," 26.7"," 20.4"," 16.6"," 18"," 17.8"," 20.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2020F","TX","EMCCV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," .2"," .1"," .2"," .2"," .3"," .2"," .2"," .2"," .1"," .1",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2020F","TX","EMICV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," .1"," .2"," .6"," .4"," .6"," .4"," .4"," .4"," .4"," .4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2020F","TX","EMTCV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3.1"," 19.9"," 13.9"," 24.6"," 17.6"," 27.6"," 21.1"," 17.2"," 18.6"," 18.4"," 20.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2020F","TX","ESACD"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 18.13"," 0"," 0"," 17.54"," 17.57"," 17.46"," 17.3"," 18.51"," 20.81"," 18.63"," 19.39"," 20.59"," 24.76"," 24.67"," 24.63"," 25.31"," 28.8"," 28.78"," 29.55"," 30.88"," 29.86"," 15.14"," 15.64"," 23.21"," 23.91"," 23.67"," 18.88"," 19.09"
"2020F","TX","ESACV"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," .5"," 1.1"," 1.2"," 1.1"," 1.9"," 2.4"," 2.8"," 6"," 5.7"," 6"," 5.2"," 5.6"," 5.9"," 7"," 7.3"," 6.9"," 7.4"," 6.2"," 8.9"," 9.6"," 14.4"," 14.9"," 15.1"," 12"," 11.3"
"2020F","TX","ESCCD"," 5.19"," 5.22"," 5.34"," 5.46"," 6.43"," 7.59"," 8.61"," 10.06"," 11.1"," 12.34"," 14.12"," 17.24"," 19.62"," 20.46"," 20.14"," 20.06"," 18.28"," 17.45"," 17.76"," 17.92"," 18.12"," 19.11"," 19.56"," 20.23"," 20.52"," 19.38"," 19.55"," 19.61"," 19.18"," 19.05"," 20.11"," 22.62"," 20.24"," 22.98"," 23.15"," 25.95"," 28.88"," 28.93"," 31.5"," 28.31"," 26.94"," 25.87"," 23.91"," 23.5"," 23.92"," 23.9"," 24.2"," 24.2"," 23.92"," 23.61"," 22.27"
"2020F","TX","ESCCV"," 405.2"," 450.9"," 515.9"," 561.2"," 675.9"," 877.2"," 1031.2"," 1300.1"," 1532.6"," 1723.8"," 2122.5"," 2780.1"," 3303"," 3576.1"," 3927.2"," 4116"," 3827"," 3719.8"," 3970"," 4123"," 4376.7"," 4704.4"," 4810.1"," 5209.8"," 5464.6"," 5314.4"," 5568.6"," 5699.2"," 5990.1"," 6076.7"," 6844.4"," 7907.6"," 6707.9"," 7581.2"," 7867.5"," 9809.8"," 10950.5"," 10909.8"," 12211.7"," 11447.7"," 11163.4"," 11315.4"," 10856.8"," 10944.9"," 11379.8"," 11115.3"," 11483.8"," 11352.3"," 11714.6"," 11440"," 11030.9"
"2020F","TX","ESICD"," 2.51"," 2.48"," 2.6"," 2.85"," 3.68"," 4.7"," 5.79"," 6.73"," 7.38"," 8.51"," 9.99"," 12.44"," 14.92"," 15.32"," 14.26"," 14.15"," 12.51"," 11.82"," 11.87"," 11.96"," 11.82"," 12.15"," 12.31"," 12.67"," 12.52"," 11.68"," 11.81"," 11.88"," 11.55"," 11.65"," 12.96"," 15.44"," 13.65"," 15.45"," 17.2"," 20.93"," 22.91"," 22.84"," 25.76"," 19.76"," 18.86"," 18.27"," 16.33"," 17.02"," 18.06"," 16.39"," 15.61"," 15.69"," 15.8"," 15.96"," 14.86"
"2020F","TX","ESICV"," 314.5"," 324"," 371.7"," 439"," 587.2"," 798.2"," 1083.4"," 1434.3"," 1669.1"," 2052.3"," 2401.7"," 3094.1"," 3562.2"," 3855.9"," 3699.4"," 3621.9"," 3108.9"," 2916.5"," 3041.7"," 3103"," 3106.7"," 3205.5"," 3304.6"," 3417.2"," 3430.6"," 3198.8"," 3563"," 3780.7"," 3771.8"," 3696.6"," 4176.7"," 4755.1"," 4380.4"," 5088.3"," 5407.7"," 6340"," 7455.7"," 7630.2"," 8380.9"," 5789"," 5621.8"," 5600.5"," 4652.4"," 5157.5"," 5886.7"," 5407.3"," 5317"," 5675.1"," 5900.7"," 6399.2"," 5691.1"
"2020F","TX","ESISB"," 125358"," 130603"," 142927"," 153906"," 159338"," 169953"," 187107"," 213007"," 226226"," 241177"," 240348"," 248751"," 238795"," 251748"," 259466"," 256033"," 248564"," 246796"," 256174"," 259395"," 262881"," 263722"," 268494"," 269795"," 274081"," 273933"," 301597"," 318231"," 326604"," 317374"," 322360"," 307960"," 320962"," 329277"," 314457"," 302891"," 325369"," 334114"," 325293"," 293028"," 298041"," 306463"," 284925"," 303098"," 325926"," 329952"," 340523"," 361601"," 373477"," 400899"," 383083"
"2020F","TX","ESRCD"," 6.31"," 6.32"," 6.4"," 6.61"," 7.73"," 8.74"," 9.84"," 11.11"," 11.86"," 13.05"," 14.92"," 18.32"," 21.25"," 22.44"," 21.62"," 21.99"," 20.18"," 19.74"," 20.16"," 20.45"," 21.12"," 22.17"," 22.69"," 23.45"," 23.68"," 22.61"," 22.76"," 22.92"," 22.42"," 22.13"," 23.33"," 25.97"," 23.6"," 26.83"," 28.51"," 32.03"," 37.68"," 36.17"," 38.19"," 36.29"," 33.99"," 32.48"," 32.18"," 33.28"," 34.77"," 33.88"," 32.22"," 32.28"," 32.82"," 34.47"," 34.33"
"2020F","TX","ESRCV"," 701.2"," 776.4"," 895.3"," 961.1"," 1147.9"," 1219.6"," 1382.3"," 1776"," 2068.7"," 2243.2"," 2910.3"," 3601.8"," 4402.9"," 4619.9"," 5043"," 5381.8"," 4984.7"," 5009"," 5314"," 5556"," 5947.4"," 6361.3"," 6342.7"," 7017.3"," 7254.7"," 7161.9"," 7739.9"," 7904.6"," 8448.2"," 8201.2"," 9304.8"," 10399.3"," 9778.3"," 11111.3"," 11707.1"," 13831.8"," 16307.4"," 15418.6"," 16712.3"," 16074.3"," 15905.9"," 16142"," 15087.7"," 15926.1"," 16715.8"," 16838.4"," 16048.3"," 15886.4"," 17609.6"," 18287"," 18322"
"2020F","TX","ESRFB"," 12058"," 13754"," 14934"," 15972"," 16773"," 16726"," 18514"," 19960"," 20237"," 19564"," 26436"," 23886"," 20703"," 19945"," 22850"," 21140"," 22783"," 23563"," 22175"," 22487"," 24023"," 23304"," 22963"," 26820"," 34122"," 33465"," 23595"," 24432"," 23816"," 22943"," 24259"," 27127"," 27919"," 27437"," 28749"," 27532"," 31830"," 35407"," 35930"," 37700"," 42321"," 42000"," 37568"," 44817"," 46547"," 45990"," 46407"," 47737"," 47696"," 48372"," 43783"
"2020F","TX","ESSCB"," 314589"," 339789"," 379390"," 402075"," 412899"," 425087"," 447378"," 502049"," 538721"," 552751"," 585779"," 606579"," 614354"," 632372"," 687719"," 706043"," 704893"," 713656"," 743293"," 761114"," 786037"," 796776"," 793975"," 826468"," 846787"," 864842"," 926475"," 953801"," 1015836"," 1006949"," 1061652"," 1058039"," 1066807"," 1073568"," 1065189"," 1112957"," 1137545"," 1137736"," 1150813"," 1140639"," 1180736"," 1241134"," 1208167"," 1247708"," 1283007"," 1292665"," 1313827"," 1323479"," 1400420"," 1416548"," 1412675"
"2020F","TX","ESTCD"," 4.52"," 4.57"," 4.7"," 4.88"," 5.84"," 6.81"," 7.82"," 8.98"," 9.78"," 10.89"," 12.69"," 15.62"," 18.34"," 19.06"," 18.42"," 18.58"," 16.91"," 16.32"," 16.58"," 16.79"," 17.09"," 17.91"," 18.21"," 18.93"," 19.07"," 18.12"," 18.21"," 18.23"," 17.93"," 17.85"," 19.15"," 21.8"," 19.56"," 22.16"," 23.46"," 26.94"," 30.52"," 29.85"," 32.42"," 29.21"," 27.69"," 26.64"," 25.33"," 25.67"," 26.49"," 25.82"," 25.01"," 24.88"," 25.16"," 25.51"," 24.81"
"2020F","TX","ESTCV"," 1421"," 1551.2"," 1782.9"," 1961.4"," 2410.9"," 2895"," 3496.8"," 4510.4"," 5270.4"," 6019.3"," 7434.5"," 9476"," 11268.2"," 12051.8"," 12669.6"," 13119.7"," 11920.6"," 11645.3"," 12325.7"," 12782"," 13430.7"," 14271.2"," 14457.4"," 15644.2"," 16149.9"," 15675.1"," 16871.9"," 17385.6"," 18211.3"," 17975.7"," 20327.8"," 23064.5"," 20869.5"," 23786.7"," 24987.9"," 29987.5"," 34718.9"," 33964.2"," 37310.8"," 33318"," 32698.3"," 33064.8"," 30604.4"," 32034.7"," 33991.3"," 33370.6"," 32863.5"," 32928.5"," 35240.1"," 36138.3"," 35055.3"
"2020F","TX","ESTXD"," 4.52"," 4.57"," 4.7"," 4.88"," 5.84"," 6.81"," 7.82"," 8.98"," 9.78"," 10.89"," 12.69"," 15.62"," 18.34"," 19.06"," 18.42"," 18.58"," 16.91"," 16.32"," 16.58"," 16.79"," 17.09"," 17.91"," 18.21"," 18.93"," 19.07"," 18.12"," 18.21"," 18.23"," 17.93"," 17.85"," 19.15"," 21.8"," 19.56"," 22.16"," 23.46"," 26.94"," 30.52"," 29.85"," 32.42"," 29.21"," 27.69"," 26.64"," 25.33"," 25.67"," 26.49"," 25.82"," 25.01"," 24.88"," 25.16"," 25.51"," 24.81"
"2020F","TX","ESTXV"," 1421"," 1551.2"," 1782.9"," 1961.4"," 2410.9"," 2895"," 3496.8"," 4510.4"," 5270.4"," 6019.3"," 7434.5"," 9476"," 11268.2"," 12051.8"," 12669.6"," 13119.7"," 11920.6"," 11645.3"," 12325.7"," 12782"," 13430.7"," 14271.2"," 14457.4"," 15644.2"," 16149.9"," 15675.1"," 16871.9"," 17385.6"," 18211.3"," 17975.7"," 20327.8"," 23064.5"," 20869.5"," 23786.7"," 24987.9"," 29987.5"," 34718.9"," 33964.2"," 37310.8"," 33318"," 32698.3"," 33064.8"," 30604.4"," 32034.7"," 33991.3"," 33370.6"," 32863.5"," 32928.5"," 35240.1"," 36138.3"," 35055.3"
"2020F","TX","FNICD"," .8"," .84"," .84"," .97"," 2.13"," 2.43"," 2.55"," 2.8"," 3.24"," 3.66"," 6.68"," 8.26"," 7.26"," 6.8"," 6.71"," 6.27"," 3.41"," 4.2"," 3.44"," 4.21"," 5.21"," 4.47"," 4.32"," 3.85"," 3.65"," 4.04"," 4.85"," 4.46"," 2.93"," 4.1"," 6.62"," 5.38"," 5.65"," 6.69"," 8.67"," 11.78"," 14.12"," 15.92"," 22.2"," 13.9"," 17.97"," 23.88"," 23.66"," 23.55"," 21.57"," 11.34"," 9.53"," 11.88"," 15.09"," 13.92"," 9.32"
"2020F","TX","FNICV"," 146"," 153.6"," 155.9"," 176.9"," 421.6"," 417"," 598.9"," 666.9"," 776.5"," 1017.7"," 1936.6"," 2220.8"," 1400.4"," 1176.8"," 1130.8"," 902.4"," 710.5"," 890.8"," 746.2"," 998.9"," 1105.5"," 815.1"," 994.2"," 823"," 888.3"," 919.2"," 1420"," 1460.9"," 1059.5"," 1297.4"," 2791"," 1962"," 2582.7"," 3253.8"," 5212.9"," 6668"," 7265"," 7395.5"," 8825.8"," 5557.1"," 7591.6"," 10017.3"," 9244.6"," 10500.4"," 8143.5"," 4141.6"," 3414.7"," 4419.9"," 5755.1"," 4709.8"," 2818.4"
"2020F","TX","FOICD"," .94"," .99"," .99"," 1.15"," 2.5"," 2.86"," 3"," 3.3"," 3.42"," 4.97"," 7.64"," 9.72"," 8.79"," 8"," 7.9"," 7.38"," 4.01"," 4.94"," 4.05"," 4.96"," 6.13"," 5.26"," 5.08"," 4.53"," 4.3"," 4.75"," 5.71"," 5.25"," 3.45"," 4.83"," 7.8"," 6.33"," 6.65"," 7.87"," 10.2"," 13.86"," 16.62"," 18.74"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2020F","TX","FOICV"," 120.4"," 153"," 206.1"," 284.8"," 576.7"," 558"," 764.7"," 1327.8"," 1712.8"," 2961.5"," 4618.6"," 4977.7"," 3228.6"," 2879.7"," 2612"," 2623.7"," 1723.4"," 1929.4"," 1660.5"," 1902.7"," 3251.9"," 3060.9"," 2914"," 2688.8"," 2538"," 2679.1"," 2933.3"," 3183.1"," 2001"," 2643.5"," 3425.2"," 2255.8"," 1957.3"," 2258.9"," 2840.1"," 3297.7"," 4146.9"," 1713.2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2020F","TX","FSICD"," .43"," .46"," .48"," .53"," 1.15"," 1.31"," 1.38"," 1.66"," 1.19"," 2.88"," 4.04"," 4.46"," 2.72"," 3.67"," 3.62"," 3.39"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2020F","TX","FSICV"," 8.8"," 11.9"," 11"," 10.4"," 26.7"," 32.3"," 38"," 47.6"," 39.3"," 62.3"," 106.2"," 51.2"," 32.7"," 55.5"," 68.9"," 69.6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2020F","TX","GDPRV",,,,,,,,,,,,,,,,,,,,,,,,,,,," 610157.3"," 645142.6"," 679870.3"," 738677"," 773375.5"," 789817.6"," 833342.3"," 913444.4"," 995252.4"," 1103197.6"," 1191093.1"," 1244294.9"," 1169607.7"," 1245959.4"," 1341334.4"," 1421180.1"," 1515195.6"," 1579299.5"," 1573498.4"," 1579014.9"," 1677110.9"," 1809706.4"," 1863953.8"," 1775587.8"
"2020F","TX","GDPRX",,,,,,,,,,,,,,,,,,,,,,,,,,,," 870724"," 925557"," 961513"," 995661"," 1020538"," 1043567"," 1050609"," 1109477"," 1141374"," 1228547"," 1286193"," 1282089"," 1277295"," 1309962"," 1353600"," 1421180"," 1484700"," 1529617"," 1605902"," 1619954"," 1664219"," 1729287"," 1785318"," 1734321"
"2020F","TX","HLACD"," .98"," 1.06"," 1.08"," 1.23"," 2.34"," 2.34"," 2.46"," 2.87"," 2.36"," 4.08"," 4.99"," 5.62"," 5.7"," 6.18"," 6"," 5.57"," 5.47"," 5.5"," 5.38"," 4.51"," 5.94"," 7.18"," 6.86"," 6.8"," 11.25"," 11.49"," 11.97"," 11.95"," 10.62"," 11.83"," 14.25"," 15.49"," 14.97"," 16.21"," 17.93"," 20.49"," 21.89"," 24.75"," 29.32"," 23.28"," 26.62"," 30.31"," 23.15"," 22.65"," 23.96"," 14.56"," 14.43"," 19.03"," 20.82"," 16.03"," 14.13"
"2020F","TX","HLACV"," 21.1"," 25.9"," 27.2"," 28.4"," 47.6"," 44.6"," 48.4"," 59.7"," 45.3"," 12.2"," 12.4"," 29.6"," 26.2"," 33.7"," 19.1"," 13"," 16"," 9.5"," 9.6"," 7.8"," 10.9"," 9.5"," 8.2"," 9.1"," 26.5"," 14.2"," 12.6"," 11.3"," 30"," 16.6"," 12.8"," 34.9"," 27.6"," 32.6"," 39.5"," 36.8"," 43.7"," 34.4"," 74.6"," 44.9"," 15.2"," 13.5"," 10.6"," 13.3"," 28.5"," 18.2"," 19.7"," 22.4"," 13.1"," 10.4"," 3.4"
"2020F","TX","HLCCD"," .98"," 1.06"," 1.08"," 1.23"," 2.34"," 2.34"," 2.46"," 2.87"," 2.36"," 4.08"," 4.99"," 5.62"," 5.7"," 6.18"," 6"," 4.2"," 4.1"," 3.6"," 3.5"," 2.57"," 4.01"," 4.11"," 3.92"," 3.73"," 8.31"," 8.67"," 9.57"," 9.79"," 8.76"," 9.06"," 11.98"," 12.79"," 10.71"," 12.06"," 14.56"," 17.02"," 18.83"," 20.75"," 25.15"," 20.22"," 21.53"," 25.08"," 19.02"," 18.59"," 19.71"," 11.75"," 11.63"," 15.53"," 17.05"," 12.99"," 11.38"
"2020F","TX","HLCCV"," 15.9"," 16.5"," 17.5"," 18.1"," 30.6"," 28.1"," 30.3"," 32.6"," 29.7"," 26.3"," 32.2"," 36.9"," 28.4"," 36.6"," 32.4"," 32.1"," 28.5"," 26.7"," 22.9"," 17.7"," 25.9"," 17.5"," 14.2"," 14.4"," 31.7"," 30.3"," 23.3"," 36.1"," 42"," 86.7"," 135.6"," 164.5"," 123.4"," 158.9"," 109.2"," 171.6"," 167"," 55.3"," 218.2"," 138"," 194.1"," 173.4"," 131.8"," 139.5"," 158.5"," 101"," 82.1"," 102.2"," 162.2"," 126.1"," 197.9"
